case,goodput,fairness,max_starvation,max_p99,max_wait,conc_priority,conc_demand
throughput_only,85808.80145702363,0.5802367494563793,0.0266666666666666,77.0,138.0,20.002349853515625,19.99945831298828
jain_fairness_only,85073.38876342011,0.5852176219159829,0.0233333333333333,78.0,157.0,20.001264572143555,19.999290466308597
service_only,83717.9477747116,0.5957119908482857,0.0483333333333333,97.01999999999998,199.0,20.002445220947266,20.00041007995605
urgency_service_only,82378.90464758301,0.6088395245326668,0.0541666666666666,102.01999999999998,231.0,20.00163078308105,20.000959396362305
low_throughput_only,81222.17375653076,0.6198348479399591,0.0566666666666666,104.0,217.0,19.99963760375977,19.99957656860352
deficit_service_only,83701.89046844482,0.5941733389741706,0.0341666666666666,92.0,186.0,20.00177383422852,20.00173759460449
pf_utility_only,81825.53681035613,0.615178639934175,0.0458333333333333,98.0,194.0,19.99937438964844,19.99946403503418
