case_id,global_env_steps,mean_goodput_bits_per_slot,final_jain_fairness,max_starvation_rate,max_p99_wait_slots,max_wait_slots,mean_core_reward,active_reward_mean
deficit_service_only,65536,108365.38525354462,0.1123034021890588,0.01,63.0,78.0,0.3452243658673545,0.3452243658673545
jain_fairness_only,65536,98256.3477681839,0.3234711089477696,0.0,46.0,47.0,0.3123642245328095,0.3123642245328095
low_throughput_only,65536,64931.11129486389,0.1545834560738713,0.94,5000.0,5000.0,2.5349631724309952e-05,2.5349631724309952e-05
pf_utility_only,65536,113319.73559893646,0.1984586323735486,0.065,81.0,117.0,0.1066894891171261,0.1066894891171261
service_only,65536,151595.85752789307,0.0838887578700831,0.6725,5000.0,5000.0,0.4905101264322917,0.4905101264322917
throughput_only,65536,102314.32581493836,0.2183805308830556,0.0,52.0,55.0,0.5188752590599394,0.5188752590599394
urgency_service_only,65536,143949.40889748686,0.0779973072219315,0.9308333333333332,5000.0,5000.0,0.0226272121378814,0.0226272121378814
