case,throughput_weight,jain_weight,service_weight,goodput_bits_per_slot,jain_fairness,starvation_rate,worst_p99_wait_slots,max_wait_slots
Reference: 37.5% throughput + 62.5% Jain,0.375,0.625,0.0,98600.29456302032,0.2692223689637986,0.0,49.0,50.0
Equal thirds: throughput + Jain + service,0.3333333333333333,0.3333333333333333,0.3333333333333333,97411.018965477,0.2676396421121176,0.0,47.0,48.0
