global_env_steps,mean_goodput_bits_per_slot_reference,final_jain_fairness_reference,max_starvation_rate_reference,max_p99_wait_slots_reference,max_wait_slots_reference,mean_service_score_reference,mean_goodput_bits_per_slot_equal_three,final_jain_fairness_equal_three,max_starvation_rate_equal_three,max_p99_wait_slots_equal_three,max_wait_slots_equal_three,mean_service_score_equal_three
16384,79802.28983968658,0.0394047210871726,0.9466666666666668,5000.0,5000.0,0.0643525182291666,120468.29425098877,0.1790848825850946,0.8241666666666667,5000.0,5000.0,0.2576395920572916
32768,133291.63660608215,0.0617743268075054,0.9391666666666668,5000.0,5000.0,0.0802838701822916,101360.17401057434,0.2343365738977986,0.0,51.0,55.0,0.9227065149739584
49152,113971.90638723908,0.1412284840591201,0.0458333333333333,83.0,105.0,0.8872270709635417,98834.0542000351,0.2731071490606819,0.0,48.0,50.0,0.9256052924479168
65536,101720.87862756806,0.2154799034554451,0.0,54.0,55.0,0.9194493846354168,97014.2622822998,0.282342529484566,0.0,46.0,47.0,0.9276533434895832
81920,98940.69715291596,0.2657556274150163,0.0,49.0,50.0,0.9237969536458334,98420.85792526092,0.2211864642201318,0.0,48.0,50.0,0.9249323381510416
98304,99105.6063799469,0.2650526298175046,0.0,50.0,51.0,0.9237233811197916,96788.27941663055,0.2774719889444669,0.0,47.0,48.0,0.927060576953125
100096,98600.29456302032,0.2692223689637986,0.0,49.0,50.0,0.9245001936197916,97411.018965477,0.2676396421121176,0.0,47.0,48.0,0.92623543828125
