case_id,label,focus_component,component_label,regime,regime_label,throughput_weight,jain_weight,service_weight,x_weight,global_env_steps,seed,profile_seed,validation_seed,device,run_status,goodput_bits_per_slot,jain_fairness,max_starvation_rate,worst_p99_wait_slots,max_wait_slots,service_score,raw_x_score,throughput_score,fairness_score,reward,training_final_reward,training_jain_last32,deterministic_jain,stochastic_deterministic_jain_gap,throughput_contribution,jain_contribution,service_contribution,x_contribution,first_zero_starvation_step,best_safe_checkpoint_step,minimum_observed_starvation_rate,maximum_observed_jain,stability,late_collapse_flag,late_degradation_flag,delta_goodput_vs_equal_third,delta_goodput_pct_vs_equal_third,delta_jain_vs_equal_third,delta_p99_vs_equal_third,delta_max_wait_vs_equal_third
add_deficit_service_equal,Equal-quarter: Throughput-deficit service,deficit_service,Throughput-deficit service,equal_quarter,Equal-quarter: 0.25/0.25/0.25/0.25,0.25,0.25,0.25,0.25,100096,1701,1701,1701,cpu,completed,117696.46756743013,0.0845448094131864,0.0583333333333333,74.0,76.0,0.8780094326822917,0.3282715093186902,0.5968840102602092,0.0846996137694641,0.4719661415076638,0.5552244752608217,0.591185996554202,0.0845448094131864,0.5066411871410156,0.1492210025650523,0.021174903442366,0.2195023581705729,0.0820678773296725,49152.0,49152.0,0.0,0.201941766724436,Borderline,False,True,20285.44860243013,20.824593375538704,-0.18309483268681362,27.0,28.0
add_low_throughput_equal,Equal-quarter: Low-throughput percentile,low_throughput,Low-throughput percentile,equal_quarter,Equal-quarter: 0.25/0.25/0.25/0.25,0.25,0.25,0.25,0.25,100096,1701,1701,1701,cpu,completed,86476.6313854004,0.1536387431768326,0.925,5000.0,5000.0,0.1070078516927083,0.0,0.4385562251946071,0.1171309168104437,0.1656737484244398,0.4575669848257859,0.6126714235620074,0.1536387431768326,0.45903268038517486,0.1096390562986517,0.0292827292026109,0.026751962923177,0.0,,,0.1383333333333333,0.2422137833383036,Full collapse,False,False,-10934.3875795996,-11.225000719403566,-0.11400089892316742,4953.0,4952.0
add_pf_utility_equal,Equal-quarter: PF utility,pf_utility,PF utility,equal_quarter,Equal-quarter: 0.25/0.25/0.25/0.25,0.25,0.25,0.25,0.25,100096,1701,1701,1701,cpu,completed,96471.22959927826,0.120916478301159,0.9383333333333334,5000.0,5000.0,0.0917039489583333,0.0359729449179737,0.4892426730221186,0.1022863120374589,0.1798014697339711,0.4799732517999883,0.6117847572209834,0.120916478301159,0.4908682789198244,0.1223106682555296,0.0255715780093647,0.0229259872395833,0.0089932362294934,,,0.0858333333333333,0.1310278844278747,Full collapse,False,False,-939.7893657217355,-0.9647670003938735,-0.14672316379884104,4953.0,4952.0
add_urgency_service_equal,Equal-quarter: Urgency service,urgency_service,Urgency service,equal_quarter,Equal-quarter: 0.25/0.25/0.25/0.25,0.25,0.25,0.25,0.25,100096,1701,1701,1701,cpu,completed,129483.74433153076,0.0824454609116688,0.9258333333333332,5000.0,5000.0,0.091721312109375,0.0216349125006923,0.6566618198276251,0.0874193772807599,0.2143593554296131,0.5432592786944406,0.6116860062352748,0.0824454609116688,0.529240545323606,0.1641654549569062,0.0218548443201899,0.0229303280273437,0.005408728125173,65536.0,65536.0,0.0,0.2630344472220883,Late collapse,True,False,32072.725366530765,32.92515128915197,-0.18519418118833122,4953.0,4952.0
deficit_service_group_js,Giữ nhóm Jain + Service: Throughput-deficit service,deficit_service,Throughput-deficit service,group_fairness_service,Giữ nhóm Jain + Service: 0.10/0.30/0.30/0.30,0.1,0.3,0.3,0.3,100096,1701,1701,1701,cpu,completed,97528.1773361496,0.2666419818473835,0.0,48.0,50.0,0.9236260768229166,0.3674609833240772,0.4946028611132164,0.2609449933383385,0.5150699021569214,0.58707175506451,0.5669430328735077,0.2666419818473835,0.30030105102612414,0.0494602861113216,0.0782834980015015,0.277087823046875,0.1102382949972231,65536.0,98304.0,0.0,0.2693276545725171,Stable,False,False,117.15837114960595,0.120272195480986,-0.0009976602526164946,1.0,2.0
low_throughput_group_js,Giữ nhóm Jain + Service: Low-throughput percentile,low_throughput,Low-throughput percentile,group_fairness_service,Giữ nhóm Jain + Service: 0.10/0.30/0.30/0.30,0.1,0.3,0.3,0.3,100096,1701,1701,1701,cpu,completed,122136.2143459076,0.080980812777837,0.1458333333333333,87.0,110.0,0.8389884809895833,0.0459727015910627,0.6193996720846326,0.0812654767211505,0.3518079649990022,0.4720404167565557,0.6071142770892941,0.080980812777837,0.5261334643114571,0.0619399672084632,0.0243796430163451,0.251696544296875,0.0137918104773188,,,0.0625,0.1340890883758413,Full collapse,False,False,24725.195380907608,25.382339332464454,-0.18665882932216302,40.0,62.0
pf_utility_group_js,Giữ nhóm Jain + Service: PF utility,pf_utility,PF utility,group_fairness_service,Giữ nhóm Jain + Service: 0.10/0.30/0.30/0.30,0.1,0.3,0.3,0.3,100096,1701,1701,1701,cpu,completed,61254.39242723846,0.0678559079860141,0.91,5000.0,5000.0,0.1095941947916666,0.0266355000720459,0.3106445601443041,0.0779585736144456,0.0953209365578778,0.4906483901493467,0.6147711906812456,0.0678559079860141,0.5469152826952315,0.0310644560144304,0.0233875720843336,0.0328782584374999,0.0079906500216137,49152.0,49152.0,0.0,0.1658936175223227,Late collapse,True,False,-36156.626537761535,-37.117594007257736,-0.19978373411398592,4953.0,4952.0
urgency_service_group_js,Giữ nhóm Jain + Service: Urgency service,urgency_service,Urgency service,group_fairness_service,Giữ nhóm Jain + Service: 0.10/0.30/0.30/0.30,0.1,0.3,0.3,0.3,100096,1701,1701,1701,cpu,completed,97930.3443043335,0.2665962051969944,0.0,49.0,50.0,0.92407157890625,0.3896875556379906,0.4966424043359242,0.2592871430953721,0.5215781237254762,0.5748321203418109,0.5870455015217542,0.2665962051969944,0.32044929632475977,0.0496642404335924,0.0777861429286116,0.277221473671875,0.1169062666913971,49152.0,65536.0,0.0,0.2861614620945202,Stable,False,False,519.3253393335035,0.5331279200765815,-0.0010434369030056234,2.0,2.0
deficit_service_group_tj,Giữ nhóm Throughput + Jain: Throughput-deficit service,deficit_service,Throughput-deficit service,group_throughput_fairness,Giữ nhóm Throughput + Jain: 0.30/0.30/0.10/0.30,0.3,0.3,0.1,0.3,100096,1701,1701,1701,cpu,completed,97958.21619544984,0.2694051203400575,0.0,49.0,50.0,0.923476412890625,0.3636718186367174,0.4967837534051604,0.2621243752305079,0.4291216254707782,0.4962912438536175,0.5799162002289742,0.2694051203400575,0.3105110798889167,0.1490351260215481,0.0786373125691523,0.0923476412890625,0.1091015455910152,32768.0,49152.0,0.0,0.2853095581694328,Stable,False,False,547.1972304498486,0.5617405877321291,0.001765478240057461,2.0,2.0
low_throughput_group_tj,Giữ nhóm Throughput + Jain: Low-throughput percentile,low_throughput,Low-throughput percentile,group_throughput_fairness,Giữ nhóm Throughput + Jain: 0.30/0.30/0.10/0.30,0.3,0.3,0.1,0.3,100096,1701,1701,1701,cpu,completed,99024.448839328,0.2687190917433912,0.0,49.0,51.0,0.923120990625,0.07364250761382,0.502191028827286,0.2616902965471966,0.3435692489589907,0.3859950544632812,0.5802111353707462,0.2687190917433912,0.311492043627355,0.1506573086481857,0.0785070889641589,0.0923120990625,0.022092752284146,81920.0,98304.0,0.0,0.2729876608355313,Stable,False,False,1613.4298743280087,1.6563114640117949,0.0010794496433911838,2.0,3.0
