case_id,repeat,seed,status,training_rows,validation_rows,mean_goodput_bits_per_slot,final_jain_fairness,max_starvation_rate,max_p99_wait_slots,max_wait_slots,global_env_steps,device,final_model_parameter_sha256,latest_checkpoint_file_sha256,initial_model_parameter_sha256,numpy_rng_after_seed_sha256,torch_rng_after_seed_sha256
tjs_seed1701_repeat01,1,1701,Stable,391,7,97411.018965477,0.26763964211211766,0.0,47.0,48.0,100096,cpu,5afb70bea60c214d591a0d39efe44a4a84075860316c58cb0816289b96badab1,b0a82008b8be1eec0eb336ba8fee5d8a99dc1ea6849ffb522e05d0766a3d3f88,4392df7109172fe0d4a70762d12b53c73b23d6b07ba93fcb00c07fe7b607c95b,dbae05e1e2d6a1a59ad9518e2624c67a503c0a4265b19a89d5efda2ab7ed6130,bc0385c0be935b3cbdcd4c912c364ae44b89f3166f22619a0d526df25ff13d91
tjs_seed1701_repeat02,2,1701,Stable,391,7,97411.018965477,0.26763964211211766,0.0,47.0,48.0,100096,cpu,5afb70bea60c214d591a0d39efe44a4a84075860316c58cb0816289b96badab1,b0a82008b8be1eec0eb336ba8fee5d8a99dc1ea6849ffb522e05d0766a3d3f88,4392df7109172fe0d4a70762d12b53c73b23d6b07ba93fcb00c07fe7b607c95b,dbae05e1e2d6a1a59ad9518e2624c67a503c0a4265b19a89d5efda2ab7ed6130,bc0385c0be935b3cbdcd4c912c364ae44b89f3166f22619a0d526df25ff13d91
tjs_seed1701_repeat03,3,1701,Stable,391,7,97411.018965477,0.26763964211211766,0.0,47.0,48.0,100096,cpu,5afb70bea60c214d591a0d39efe44a4a84075860316c58cb0816289b96badab1,b0a82008b8be1eec0eb336ba8fee5d8a99dc1ea6849ffb522e05d0766a3d3f88,4392df7109172fe0d4a70762d12b53c73b23d6b07ba93fcb00c07fe7b607c95b,dbae05e1e2d6a1a59ad9518e2624c67a503c0a4265b19a89d5efda2ab7ed6130,bc0385c0be935b3cbdcd4c912c364ae44b89f3166f22619a0d526df25ff13d91
