reference_case,comparison_case,same_numeric_columns,first_divergent_training_row_exact,first_divergent_training_row_tol_1e-12,first_divergent_training_row_tol_1e-9,max_abs_training_metric_diff,same_initial_model_hash,same_final_model_hash,same_numpy_rng_after_seed,same_torch_rng_after_seed
tjs_seed1701_repeat01,tjs_seed1701_repeat02,True,none,none,none,0.0,True,True,True,True
tjs_seed1701_repeat01,tjs_seed1701_repeat03,True,none,none,none,0.0,True,True,True,True
