case_id,case_label,mode,seed,window_end_slot,window_slots,unique_selected_ues,unique_successful_ues,never_selected_ues_so_far,never_successful_ues_so_far,selection_top64_share_so_far,selection_gini_so_far,success_gini_so_far
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2304,64,1200,1200,0,0,0.1867947048611111,0.2698520801685474,0.2692848988357635
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2368,64,1200,1200,0,0,0.1867741765202702,0.2698423863316441,0.2691557057739588
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2432,64,1200,1200,0,0,0.1865748355263158,0.2697449158785635,0.2690379086973801
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2496,64,1200,1200,0,0,0.1863731971153846,0.2695351625100161,0.2687931364297192
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2560,64,1200,1200,0,0,0.186346435546875,0.2694779968261718,0.2687656475019385
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2624,64,1200,1200,0,0,0.1861840224847561,0.2691651383066566,0.2685855270413949
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2688,64,1200,1200,0,0,0.1861456008184523,0.2691916038876489,0.2685337684932186
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2752,64,1200,1200,0,0,0.1860521893168604,0.2690513906552811,0.2684655471216355
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2816,64,1200,1200,0,0,0.1858465021306818,0.2688906028053977,0.2682471477027443
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2880,64,1200,1200,0,0,0.1857855902777777,0.2687421332465277,0.268208458173327
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,2944,64,1200,1200,0,0,0.1857379415760869,0.2686881952700408,0.2681188965419634
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3008,64,1200,1200,0,0,0.1856455701462765,0.2684859471963652,0.2679983255139355
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3072,64,1200,1200,0,0,0.185638427734375,0.2684698825412327,0.26794548048939
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3136,64,1200,1200,0,0,0.1855518574617347,0.2683504148729804,0.2678520708312112
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3200,64,1200,1200,0,0,0.1853173828125,0.2680972249348959,0.2676795591102622
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3264,64,1200,1200,0,0,0.1852357153799019,0.2679145683338439,0.2675111459885083
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3328,64,1200,1200,0,0,0.1851055438701923,0.2679237874348958,0.2675132438007186
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3392,64,1200,1200,0,0,0.1849572523584905,0.2677412308986832,0.2673518651271153
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3456,64,1200,1200,0,0,0.1848777488425926,0.2677161774811922,0.2673442127303182
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3520,64,1200,1200,0,0,0.184920987215909,0.2676617246685606,0.2673119885363074
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3584,64,1200,1200,0,0,0.1847621372767857,0.2675123014904204,0.2671867105985723
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3648,64,1200,1200,0,0,0.1846816748903508,0.2674703676101059,0.2671207576753028
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3712,64,1200,1200,0,0,0.184637661637931,0.267415806562051,0.267089928338051
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3776,64,1200,1200,0,0,0.1845827264300847,0.2673084599554202,0.267015558335518
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3840,64,1200,1200,0,0,0.1845743815104166,0.2672987331814236,0.2669932799650242
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3904,64,1200,1200,0,0,0.1845062756147541,0.267253638095543,0.266971221928127
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,3968,64,1200,1200,0,0,0.1844915574596774,0.2671816393124159,0.2668959512232838
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4032,64,1200,1200,0,0,0.1843377976190476,0.2669792183366402,0.2667614052470598
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4096,64,1200,1200,0,0,0.1843185424804687,0.2669762802124023,0.2667448854120291
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4160,64,1200,1200,0,0,0.1842735877403846,0.2669023875701121,0.2666775353545474
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4224,64,1200,1200,0,0,0.1842336943655303,0.2668573429608585,0.2666050331946341
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4288,64,1200,1200,0,0,0.1842350746268656,0.2668468630966263,0.2666111030109609
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4352,64,1200,1200,0,0,0.1842112821691176,0.2668847895603555,0.2665535138723165
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4416,64,1200,1200,0,0,0.1842058706974637,0.2669177599920743,0.2665621759552397
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4480,64,1200,1200,0,0,0.1841552734375,0.2668692278180803,0.2665206148272752
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4544,64,1200,1200,0,0,0.1841473646566901,0.2668447403169013,0.2665057391330928
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4608,64,1200,1200,0,0,0.1841362847222222,0.266860193323206,0.2664735343875871
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4672,64,1200,1200,0,0,0.1841188195633561,0.2668502905161957,0.2664583271397568
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4736,64,1200,1200,0,0,0.1841150232263513,0.2668214705183699,0.2664232059746064
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4800,64,1200,1200,0,0,0.1840885416666666,0.266754226345486,0.26638889491666
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4864,64,1200,1200,0,0,0.1840242084703947,0.2667293615508498,0.2663460335078559
t0375_j0625,37.5% throughput + 62.5% Jain fairness,deterministic,1701,4928,64,1200,1200,0,0,0.1839932528409091,0.2666317313058035,0.2663245443476565
