case_id,case_label,checkpoint,checkpoint_tag,mode,seed,profile_seed,slots,num_ues,top_k,starvation_threshold_slots,mean_reward,mean_goodput_bits_per_slot,final_jain_fairness,mean_starvation_rate,max_starvation_rate,max_p99_wait_slots,max_wait_slots,unique_selected_ues_episode,unique_successful_ues_episode,never_selected_ues_episode,never_successful_ues_episode,mean_unique_selected_last_window,min_unique_selected_last_window,mean_unique_success_last_window,min_unique_success_last_window,selection_top64_share,success_top64_share,selection_gini,success_gini,mean_selected_overlap_previous,mean_action_priority_std,mean_mean_priority_std,mean_action_top_k_margin,mean_mean_top_k_margin,mean_action_near_cutoff_count,mean_mean_near_cutoff_count,mean_policy_entropy,beta_concentration_priority,beta_concentration_demand
t0375_j0625,37.5% throughput + 62.5% Jain fairness,artifacts\runs\reward_study\round_02_throughput_jain_sweep\t0375_j0625\latest.pt,latest,deterministic,1701,1701,5000,1200,64,64,0.3520282436666924,98600.29456302032,0.2692223689637986,0.0,0.0,49.0,50.0,1200,1200,0,0,1193.6238,64,1193.598,54,0.183959375,0.1840529347029887,0.2665656145833333,0.266297674964908,0.115884375,0.0089310777863952,0.0089310777863952,1.776692867279053e-05,1.776692867279053e-05,1.725,1.725,0.0,20.002058029174805,19.998647689819336
t0375_j0625,37.5% throughput + 62.5% Jain fairness,artifacts\runs\reward_study\round_02_throughput_jain_sweep\t0375_j0625\latest.pt,latest,stochastic,1701,1701,5000,1200,64,64,0.5108483546308684,84952.67503882751,0.5934726759989227,0.0137725,0.0266666666666666,79.0,179.0,1200,1200,0,0,1185.3072,64,1179.2468,54,0.06915,0.0693726501720169,0.0727484635416666,0.0735768041529394,0.0424,0.1067048179265954,0.013751426454719,0.0006947382807731,0.0001065128207206,1.0012,1.0544,-0.8149631793141365,20.002058029174805,19.998647689819336
t025_j075,25% throughput + 75% Jain fairness,artifacts\runs\reward_study\round_02_throughput_jain_sweep\t025_j075\latest.pt,latest,deterministic,1701,1701,5000,1200,64,64,0.2430815458252813,113245.13083479003,0.1409667409735661,0.6935438333333334,0.7791666666666667,5000.0,5000.0,1200,1147,0,53,373.9406,64,357.7442,54,0.367696875,0.3682343179900921,0.7873678697916667,0.7889409616748768,0.81099375,0.0018164471187528,0.0018164471187528,1.6344690322875975e-05,1.6344690322875975e-05,1.6912,1.6912,0.0,20.00094413757324,19.999771118164062
t025_j075,25% throughput + 75% Jain fairness,artifacts\runs\reward_study\round_02_throughput_jain_sweep\t025_j075\latest.pt,latest,stochastic,1701,1701,5000,1200,64,64,0.5342145136400079,81812.77025775604,0.6213472811617056,0.036492,0.0541666666666666,108.01,287.0,1200,1200,0,0,1167.4778,64,1151.5438,54,0.0618625,0.0623114496290613,0.0434282604166666,0.0455497512610526,0.05059375,0.1090725015335017,0.0041423072957171,0.000787927532196,2.9675352573394772e-05,1.0024,1.073,-0.7986582464694977,20.00094413757324,19.999771118164062
