case_id,case_label,mode,seed,ue_id,selected_slots,successful_slots,selection_fraction,success_fraction,final_delivered_bits,final_wait_slots,cqi,demand_factor
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,661,289,254,0.0578,0.0508,517926.3551940918,58,11,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,662,285,255,0.057,0.051,429613.3913269043,9,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,663,278,248,0.0556,0.0496,677068.2392578125,0,13,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,664,262,231,0.0524,0.0462,169879.57763671875,0,6,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,665,270,249,0.054,0.0498,785603.9085083008,5,14,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,666,302,277,0.0604,0.0554,881679.6452026367,3,14,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,667,250,221,0.05,0.0442,697657.6572265625,28,14,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,668,264,239,0.0528,0.0478,353920.18267822266,101,9,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,669,245,219,0.049,0.0438,324021.22814941406,27,9,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,670,260,234,0.052,0.0468,558730.0219116211,29,12,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,671,249,226,0.0498,0.0452,84833.11401367188,32,4,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,672,295,268,0.059,0.0536,242353.2998046875,3,7,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,673,240,219,0.048,0.0438,328888.49981689453,3,9,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,674,281,261,0.0562,0.0522,530406.5083312988,2,11,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,675,277,253,0.0554,0.0506,702556.3293457031,41,13,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,676,265,242,0.053,0.0484,91178.2137298584,21,4,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,677,264,243,0.0528,0.0486,57355.81869506836,16,3,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,678,282,251,0.0564,0.0502,416200.3010559082,57,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,679,273,251,0.0546,0.0502,505446.2020568848,21,11,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,680,255,229,0.051,0.0458,21630.22982788086,17,1,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,681,272,241,0.0544,0.0482,767866.8494262695,4,14,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,682,297,276,0.0594,0.0552,934962.629699707,24,15,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,683,264,230,0.0528,0.046,387007.1045837402,21,10,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,684,308,283,0.0616,0.0566,481293.2391357422,7,10,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,685,295,273,0.059,0.0546,756800.2133789062,57,13,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,686,280,254,0.056,0.0508,37049.52626037598,2,2,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,687,279,256,0.0558,0.0512,186018.13751220703,26,6,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,688,271,246,0.0542,0.0492,225072.8268432617,2,7,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,689,259,228,0.0518,0.0456,32850.12840270996,11,2,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,690,302,275,0.0604,0.055,778367.0588378906,27,13,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,691,228,205,0.0456,0.041,19209.75650024414,23,1,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,692,250,231,0.05,0.0462,209285.7280883789,19,7,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,693,258,226,0.0516,0.0452,262168.63623046875,4,8,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,694,244,226,0.0488,0.0452,32409.868949890137,0,2,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,695,290,258,0.058,0.0516,614546.6436767578,89,12,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,696,239,218,0.0478,0.0436,364914.9559020996,34,10,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,697,254,226,0.0508,0.0452,455045.58361816406,5,11,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,698,247,220,0.0494,0.044,121640.60302734376,8,5,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,699,283,263,0.0566,0.0526,825512.2914428711,10,14,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,700,263,229,0.0526,0.0458,167671.1431274414,18,6,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,701,284,252,0.0568,0.0504,181771.14807128903,4,6,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,702,306,284,0.0612,0.0568,680511.7421264648,18,12,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,703,268,240,0.0536,0.048,89526.74942016602,11,4,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,704,315,282,0.063,0.0564,877245.3804321289,3,14,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,705,242,219,0.0484,0.0438,363336.9452819824,5,10,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,706,294,268,0.0588,0.0536,828468.467956543,0,14,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,707,231,203,0.0462,0.0406,29768.31223297119,64,2,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,708,268,239,0.0536,0.0478,172088.0121459961,1,6,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,709,246,227,0.0492,0.0454,384640.08865356445,4,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,710,268,250,0.0536,0.05,688178.4323730469,23,13,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,711,293,259,0.0586,0.0518,898045.6503295898,0,15,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,712,254,233,0.0508,0.0466,714655.6721801758,22,14,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,713,233,210,0.0466,0.042,78053.41842651367,67,4,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,714,259,228,0.0518,0.0456,780874.367980957,16,15,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,715,278,251,0.0556,0.0502,93090.4355621338,0,4,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,716,262,230,0.0524,0.046,269358.9152832031,2,8,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,717,296,265,0.0592,0.053,831424.6444702148,3,14,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,718,268,241,0.0536,0.0482,753825.0109863281,18,14,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,719,262,236,0.0524,0.0472,812173.5461425781,6,15,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,720,274,250,0.0548,0.05,685564.2692871094,20,13,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,721,242,229,0.0484,0.0458,33798.37953186035,32,2,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,722,243,222,0.0486,0.0444,373199.5116577149,15,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,723,240,220,0.048,0.044,520955.1364746094,22,12,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,724,303,270,0.0606,0.054,401202.2503051758,1,9,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,725,267,241,0.0534,0.0482,401998.2054748535,41,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,726,262,241,0.0524,0.0482,55340.467041015625,0,3,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,727,266,241,0.0532,0.0482,174126.56707763672,10,6,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,728,271,244,0.0542,0.0488,836249.8370361328,49,15,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,729,251,221,0.0502,0.0442,364520.4532470703,15,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,730,295,269,0.059,0.0538,395987.3163757324,1,9,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,731,287,267,0.0574,0.0534,822556.1149291992,31,14,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,732,263,241,0.0526,0.0482,56538.784240722656,30,3,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,733,282,256,0.0564,0.0512,511686.2786254883,9,11,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,734,250,218,0.05,0.0436,159007.28466796875,23,6,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,735,239,207,0.0478,0.0414,29869.910568237305,8,2,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,736,243,221,0.0486,0.0442,52290.205078125,19,3,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,737,243,218,0.0486,0.0436,199258.7869873047,24,7,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,738,270,243,0.054,0.0486,498246.1137084961,14,11,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,739,291,265,0.0582,0.053,845466.4829101562,16,14,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,740,285,260,0.057,0.052,531846.5260009766,1,11,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,741,258,232,0.0516,0.0464,650926.6083984375,10,13,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,742,274,245,0.0548,0.049,181261.5093383789,13,6,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,743,293,256,0.0586,0.0512,804819.055847168,6,14,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,744,265,243,0.053,0.0486,57846.03936767578,21,3,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,745,285,263,0.057,0.0526,898045.6503295898,4,15,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,746,251,228,0.0502,0.0456,390557.6284790039,22,10,0.5
