case,label,training_jain_last20,deterministic_validation_jain,training_starvation_last20,deterministic_validation_starvation,training_service_last20,deterministic_validation_service
hold_jain_raise_service,Giữ Jain: tăng Service,0.622392661091036,0.0466349551052991,0.08512499999999995,0.9466666666666668,0.7963970714569091,0.0615527299479166
hold_jain_raise_throughput,Giữ Jain: tăng Throughput,0.6221445910141091,0.0486460667771948,0.06445833333333331,0.9466666666666668,0.8103440340677898,0.0615528182291666
hold_service_raise_jain,Giữ Service: tăng Jain,0.5750255856950427,0.2603584221946746,0.019916666666666645,0.0,0.8648613321940104,0.9194381736979168
hold_service_raise_throughput,Giữ Service: tăng Throughput,0.5621168155976302,0.2662182717869922,0.01554166666666664,0.0,0.8718008182525635,0.921888332421875
hold_throughput_raise_jain,Giữ Throughput: tăng Jain,0.6057523223468023,0.0772158408352089,0.048374999999999974,0.9466666666666668,0.8310226314544679,0.0660344873697916
hold_throughput_raise_service,Giữ Throughput: tăng Service,0.5666612125764614,0.2578510770837371,0.015041666666666637,0.0,0.8714785652160645,0.9197458484375
