case,label,throughput_weight,jain_weight,service_weight,goodput_bits_per_slot,jain_fairness,max_starvation_rate,worst_p99_wait_slots,max_wait_slots,throughput_score,fairness_score,service_score,reward,throughput_reward_contribution,fairness_reward_contribution,service_reward_contribution,throughput_reward_share,fairness_reward_share,service_reward_share,first_zero_starvation_step,minimum_observed_starvation_rate,maximum_observed_jain
hold_jain_raise_service,Giữ Jain: tăng Service,0.2666666666666667,0.3333333333333333,0.4,9763.800042938232,0.0466349551052991,0.9466666666666668,5000.0,5000.0,0.0495159816216991,0.0468024772102915,0.0615527299479166,0.0534261794817169,0.0132042617657864,0.0156008257367638,0.0246210919791666,0.2471496538565908,0.29200713747653667,0.46084320866687256,,0.8591666666666666,0.1080075703021138
hold_jain_raise_throughput,Giữ Jain: tăng Throughput,0.4,0.3333333333333333,0.2666666666666667,8953.930752999879,0.0486460667771948,0.9466666666666668,5000.0,5000.0,0.0454088232714449,0.0487326233541974,0.0615528182291666,0.0508218219544215,0.0181635293085779,0.0162442077847324,0.0164140848611111,0.3573962642438817,0.31963056734370354,0.3229731684124148,,0.0108333333333333,0.1494451197571993
hold_service_raise_jain,Giữ Service: tăng Jain,0.2666666666666667,0.4,0.3333333333333333,98333.34871981048,0.2603584221946746,0.0,50.0,51.0,0.4986861945756327,0.2526323330380892,0.9194381736979168,0.5405153096680433,0.1329829852201687,0.1010529332152356,0.3064793912326389,0.24603000662800842,0.18695665304521558,0.5670133403267761,49152,0.0,0.2603584221946746
hold_service_raise_throughput,Giữ Service: tăng Throughput,0.4,0.2666666666666667,0.3333333333333333,100145.1381311554,0.2662182717869922,0.0,50.0,52.0,0.5078744748353692,0.2598921134302337,0.921888332421875,0.579750464322835,0.2031497899341476,0.0693045635813956,0.3072961108072916,0.3504090163540143,0.11954205791339093,0.5300489257325947,49152,0.0,0.2717144851803492
hold_throughput_raise_jain,Giữ Throughput: tăng Jain,0.3333333333333333,0.4,0.2666666666666667,42915.212606318666,0.0772158408352089,0.9466666666666668,5000.0,5000.0,0.2176395326984092,0.0588773450803707,0.0660344873697916,0.1137066455635624,0.0725465108994697,0.0235509380321483,0.0176091966319444,0.6380146959740884,0.20712015481085705,0.15486514921505443,,0.9466666666666668,0.1035229631900407
hold_throughput_raise_service,Giữ Throughput: tăng Service,0.3333333333333333,0.2666666666666667,0.4,99249.9980446167,0.2578510770837371,0.0,51.0,52.0,0.5033348755114405,0.2498156364210421,0.9197458484375,0.6022941342577581,0.1677782918371468,0.0666175030456112,0.367898339375,0.27856537577592333,0.11060626238325866,0.6108283618408179,65536,0.0,0.2594024886820497
