case,label,throughput_weight,jain_weight,steps,mean_reward,goodput_bits_per_slot,jain_fairness,starvation_rate,worst_p99_wait_slots,worst_max_wait_slots,throughput_reward_contribution,jain_reward_contribution,training_jain_last,safe_validation_count,first_safe_step
t075_j025,75% throughput + 25% Jain,0.75,0.25,100096,0.0413231042168501,7827.71969900055,0.0461572410969541,0.9466666666666668,5000.0,5000.0,0.0297730307142957,0.0115500735025543,0.5324634620318626,0,
t050_j050,50% throughput + 50% Jain,0.5,0.5,100096,0.3935878839292121,138678.01374328003,0.0857797497569204,0.9333333333333332,5000.0,5000.0,0.3516447463921825,0.0419431375370296,0.5391641524050911,0,
t0375_j0625,"37,5% throughput + 62,5% Jain",0.375,0.625,100096,0.3520282436666924,98600.29456302032,0.2692223689637986,0.0,49.0,50.0,0.1875149923187872,0.1645132513479051,0.5300044983050962,3,81920.0
t025_j075,25% throughput + 75% Jain,0.25,0.75,100096,0.1534216791058413,85916.55356624146,0.0490358669927162,0.9191666666666668,5000.0,5000.0,0.1089289638428908,0.0444927152629505,0.5423038408451454,0,
