case,label,throughput_weight,jain_weight,service_weight,final_goodput_bits_per_slot,final_jain_fairness,final_max_starvation_rate,final_worst_p99_wait_slots,final_max_wait_slots,final_service_score,final_throughput_reward_component,final_jain_reward_component,final_service_reward_component,final_throughput_reward_share,final_jain_reward_share,final_service_reward_share,raw_throughput_score,raw_jain_score,raw_service_score,best_transient_step,best_transient_goodput,best_transient_jain,best_transient_starvation_rate,best_transient_p99_wait_slots,best_transient_max_wait_slots,best_transient_constraint_excess
equal_thirds,Equal baseline: 1/3 Throughput + 1/3 Jain + 1/3 Service,0.3333333333333333,0.3333333333333333,0.3333333333333333,97411.018965477,0.2676396421121176,0.0,47.0,48.0,0.92623543828125,0.1646695686663553,0.0828168412750397,0.30874514609375,0.29604499579299454,0.14888914585386628,0.5550658583531392,0.4940087059990659,0.24845052382511912,0.92623543828125,,,,,,,
throughput_heavy,"Throughput-heavy: 0,50 / 0,25 / 0,25",0.5,0.25,0.25,143905.39152677765,0.0777046596123767,0.9441666666666668,5000.0,5000.0,0.0697965162760416,0.3648997670357358,0.0182496344000237,0.0174491290690104,0.9108864342960713,0.045555919481353166,0.04355764622257553,0.7297995340714716,0.0729985376000948,0.0697965162760416,49152.0,106761.27429277192,0.144676746924314,0.0008333333333333,60.0,64.0,1.0263720884594767
jain_heavy,"Jain-heavy: 0,25 / 0,50 / 0,25",0.25,0.5,0.25,124061.7988821762,0.0793292265362401,0.1266666666666666,80.0,95.0,0.8553648559895833,0.1572912627867616,0.0398495153824031,0.2138412139973958,0.38272057118019776,0.09696170669748738,0.5203177221223149,0.6291650511470464,0.0796990307648062,0.8553648559895832,81920.0,116853.37769605713,0.0842766195767749,0.0283333333333333,68.0,73.0,1.4645389673720417
service_heavy,"Service-heavy: 0,25 / 0,25 / 0,50",0.25,0.25,0.5,8105.085950117493,0.048321479233259,0.9466666666666668,5000.0,5000.0,0.0615392621093749,0.0102760012798136,0.0120684359503388,0.0307696310546874,0.1934704234046905,0.2272173143585663,0.5793122622367433,0.0411040051192544,0.0482737438013552,0.0615392621093748,16384.0,122998.51822583616,0.1552088426187282,0.8466666666666667,5000.0,5000.0,182.92131859563543
