profile,profile_label,role,formula,completed_seeds,stable_seeds,borderline_seeds,late_collapse_seeds,full_collapse_seeds,mean_mean_goodput_bits_per_slot,std_mean_goodput_bits_per_slot,min_mean_goodput_bits_per_slot,max_mean_goodput_bits_per_slot,mean_final_jain_fairness,std_final_jain_fairness,min_final_jain_fairness,max_final_jain_fairness,mean_max_starvation_rate,std_max_starvation_rate,min_max_starvation_rate,max_max_starvation_rate,mean_max_p99_wait_slots,std_max_p99_wait_slots,min_max_p99_wait_slots,max_max_p99_wait_slots,mean_max_wait_slots,std_max_wait_slots,min_max_wait_slots,max_max_wait_slots
tjs_equal,Baseline T–J–S equal-third,Mốc chuẩn đã ổn định từ Round 04–07; dùng để kiểm tra reward thứ tư có tạo lợi ích lặp lại hay không.,0.3333T + 0.3333J + 0.3333S,3,2,0,0,1,67106.45885260875,49950.58873446727,9429.230244621276,96198.62787722932,0.21874115693607232,0.15047311388401063,0.04553965043835353,0.31730379181538326,0.31555555555555553,0.5465582548328457,0.0,0.9466666666666667,1695.3333333333333,2861.9254590805353,42.0,5000.0,1696.0,2861.34863307497,42.0,5000.0
urgency_hold_throughput,Ứng viên cân bằng: Urgency hold-Throughput,"Ứng viên số 1 từ Round 07; kiểm tra fairness tăng lặp lại mà vẫn giữ goodput, zero-starvation và tail delay.",0.25T + 0.2J + 0.2S + 0.35U,3,1,0,0,2,38150.24256124929,50343.95809317386,8578.654875352478,96279.49055576172,0.1549246255237957,0.18534613686244553,0.047069404423746006,0.3689416764217927,0.6311111111111111,0.5465582548328457,0.0,0.9466666666666667,3346.6666666666665,2863.6573351805437,40.0,5000.0,3347.0,2863.079984911354,41.0,5000.0
deficit_group_ts,Ứng viên delay: Deficit giữ nhóm T+S,Ứng viên số 2 từ Round 07; kiểm tra tail delay giảm lặp lại và định lượng mức đánh đổi goodput.,0.3T + 0.1J + 0.3S + 0.3D,3,1,0,0,2,90961.70677771505,75396.35463812033,12490.237636349488,162851.4103386139,0.09031000168802078,0.049080498379397756,0.03997559915659593,0.1380322747231476,0.5016666666666667,0.4758705472896781,0.0,0.9466666666666667,3349.0,2859.6158832962165,47.0,5000.0,3349.0,2859.6158832962165,47.0,5000.0
