profile,round07_case,round08_case,seed,round07_goodput,round08_goodput,round07_jain,round08_jain,round07_starvation,round08_starvation,round07_p99,round08_p99,round07_max_wait,round08_max_wait
Urgency hold-Throughput,urgency_service_hold_throughput,urgency_hold_throughput_seed1701,1701,97877.39808705598,8578.654875352478,0.3248265379778111,0.047069404423746,0.0,0.9466666666666668,46.0,5000.0,48.0,5000.0
Deficit group T+S,deficit_service_anchor_preserving,deficit_group_ts_seed1701,1701,92634.11824542387,97543.47235818177,0.2921135641111174,0.1380322747231476,0.0,0.0,43.0,47.0,44.0,47.0
