profile,seed,delta_mean_goodput_bits_per_slot,delta_final_jain_fairness,delta_max_starvation_rate,delta_max_p99_wait_slots,delta_max_wait_slots
urgency_hold_throughput,1701,-87619.97300187683,-0.24631062413073418,0.9466666666666667,4956.0,4954.0
urgency_hold_throughput,2701,163.3520080123908,0.0032231452874949204,0.0,0.0,0.0
urgency_hold_throughput,3701,587.9721197860636,0.051637884606409445,0.0,-2.0,-1.0
deficit_group_ts,1701,1344.8444809524517,-0.1553477538313326,0.0,3.0,1.0
deficit_group_ts,2701,3061.0073917282116,-0.005564051281757597,0.0,0.0,0.0
deficit_group_ts,3701,67159.89190263825,-0.22438166063106446,0.5583333333333333,4958.0,4958.0
